"Date of Download: 2019-07-25_10:52:01"
"Search Parameters: metadata"

"studyDbId","studyName","studyDescription","trialType","breedingProgramDbId","breedingProgramName","breedingProgramDescription","studyYear","studyDesign","locationDbId","locationName","plantingDate","harvestDate","plotWidth","plotLength","plantsPerPlot","numberBlocks","numberReps","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","folderDbId","folderName","folderDescription","managementFactors"
"5317","15tp2set3umu","Training Population Trial established at Umudike in 2015","Clonal Evaluation","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2015","RCBD","12","Umudike","","","","","","2","2","","no","no","2880","2015_Umudike",""," No ManagementFactor: "
"5318","15tp2set4umu","Training Population Trial established at Umudike in 2015","Clonal Evaluation","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2015","RCBD","12","Umudike","","","","","","10","2","","no","no","2880","2015_Umudike",""," No ManagementFactor: "
"1601","15uyt10hbcUM","Evaluation of high betacarotene materials.","Uniform Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2015","RCBD","12","Umudike","","","","","","3","1","","","","2880","2015_Umudike",""," No ManagementFactor: "
"3870","16C1aCETnonGSKano","Cycle 1 Clonal evaluation Trial established at Kano in 2016","Clonal Evaluation","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2016","Augmented","18","Kano","2016-August-15","2017-August-20","1","8","","10","2","0.117","yes","yes","3871","2016_Kano",""," No ManagementFactor: "
"4198","16C1aCETnonGSOtobi","CET clonal evaluation established at Otobi in 2016","Clonal Evaluation","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2016","Alpha","12","Umudike","","","1","8","","10","2","0.117","no","no","4097","2016_Otobi",""," No ManagementFactor: "
"3986","16C1aCETnonGSumu","Clonal evaluation trialestablished at umudike in 2016","Clonal Evaluation","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2016","RCBD","12","Umudike","","","1","8","","20","2","0.117","yes","yes","2944","2016_Umudike",""," No ManagementFactor: "
"1789","16uyt10hcbUM","Evaluation of selected yellow root cassava genotypes for total carotene content, fresh root yield and dry matter content at uniform yield trial.","Uniform Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2016","RCBD","12","Umudike","","","","","","3","1","","","","5322","2016_17",""," No ManagementFactor: "
"4264","17C1aAYTGSOtobi","GS AYT  Trial established at Otobi in 2017","Advanced Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2017","RCBD","16","Otobi","2017-August-08","","1","8","","6","2","0.117","no","no","3853","2017_Otobi",""," No ManagementFactor: "
"4277","17C1aAYTGSkano","GS selected and plantes as cycle 1, that is C1a Advance Yield Trial established at kano in 2017 ","Advanced Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2017","RCBD","18","Kano","2017-August-08","","1","8","","6","2","0.117","no","no","4206","2017_Kano",""," No ManagementFactor: "
"4263","17C1aAYTGSumu","GS selected and planted as Cycle 1, that is C1a. AYT Trial established at Umudike in 2017","Advanced Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2017","RCBD","12","Umudike","2017-August-08","","1","8","","6","2","0.117","no","no","3855","2017_Umudike",""," No ManagementFactor: "
"4873","17C1aAYTnonGSkano","C1a AYT genotyped non GS selected established at Kano in 2017","Advanced Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2017","Alpha","18","Kano","2017-September-04","","0.8","1","","11","2","","no","no","4206","2017_Kano",""," No ManagementFactor: "
"4511","17C1aAYTnonGSsei1umu","C1a genotyped non selected Advanced Yield Trial established at Umudike in 2017","Advanced Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2018","RCBD","12","Umudike","","","","","","11","2","","no","no","3855","2017_Umudike",""," No ManagementFactor: "
"4509","17C1aAYTnonGSset2umu","C1a genotyped AYT trial established at Umudike in 2017","Advanced Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2018","RCBD","12","Umudike","","","","","","4","2","","no","no","3855","2017_Umudike",""," No ManagementFactor: "
"4510","17C1agenotypdnonSelectAYTkano","C1a genotyped non selected Advance Yield Trial established at Kano in 2017","Advanced Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2018","RCBD","18","Kano","","","","","","11","2","","no","no","4206","2017_Kano",""," No ManagementFactor: "
"5154","17C1bCETOtobi","Clonal Evaluation C1b established at Otobi in  2017","Clonal Evaluation","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2017","Augmented","16","Otobi","","","0.8","1","","10","1","","no","no","3853","2017_Otobi",""," No ManagementFactor: "
"5325","17C1bCETkano","Clonal Evaluation Trial established at Umudike in 2017","Clonal Evaluation","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2017","Augmented","12","Umudike","2017-August-08","","0.8","1","","20","1","","no","no","4206","2017_Kano",""," No ManagementFactor: "
"4878","17C1bCETnonGSumu","C1b Clonal Evaluation Trial genotyped non GS selected established at Umudike in 2017","Clonal Evaluation","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2017","Alpha","12","Umudike","","","0.8","1","","6","2","","no","no","3855","2017_Umudike",""," No ManagementFactor: "
"5315","17C1bCETumu","Clonal Evaluation established at Umudike in 2017","Clonal Evaluation","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2017","Augmented","12","Umudike","","","0.8","1","","10","1","","no","no","3855","2017_Umudike",""," No ManagementFactor: "
"3704","17C2aseedling Nursery","seed planted at umudike in 2017","Seedling Nursery","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2017","Augmented","12","Umudike","","","","","","2","1","","","","3855","2017_Umudike",""," No ManagementFactor: "
"5080","17cet200yellowrt_umu","Clonal Evaluation Trial of yellow root established at Umudike in 2017","Clonal Evaluation","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2017","Alpha","12","Umudike","","","1","5","","23","2","","no","no","5323","2017_18",""," No ManagementFactor: "
"4091","17ppdyieldexperimentUM","2017 Post-harvest Physiological Deterioration yield experiment in Umudike.","","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2017","CRD","12","Umudike","","","","","","9","2","","no","no","3855","2017_Umudike",""," No ManagementFactor: "
"5064","17pyt30yellowrtumu","Preliminary Yield Trial of yellow Root established at Umudike in 2017","Preliminary Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2017","Alpha","12","Umudike","2017-July-19","2018-August-31","4","5","","16","3","","no","no","5319","Harvest plus",""," No ManagementFactor: "
"5079","17uyt10yellowrt_umu","Uniform Yield Trial of yellow root established at Umudike in 2017","Uniform Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2017","Alpha","12","Umudike","","","6","6","","5","3","","no","no","5319","Harvest plus",""," No ManagementFactor: "
"5065","17uyt12yellowrt_umu","Uniform Yield Trial of Yellow Root established at Umudike in 2017","Uniform Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2017","Alpha","12","Umudike","2017-July-17","2018-June-25","1","0.8","","12","3","","no","no","5319","Harvest plus",""," No ManagementFactor: "
"5078","17uyt13yellowrt_umu","Uniform Yield Trialof yellow root established at Umudike in 2017","Uniform Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2017","Alpha","12","Umudike","","","6","6","","7","3","","no","no","5319","Harvest plus",""," No ManagementFactor: "
"4238","18C1aGSUYT_Abuja","C1a Uniform Yield Trail established at Abuja in 2018","Uniform Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2018","RCBD","35","Abuja","2018-August-08","","4","4","","3","3","0.096","no","no","4358","2018_Abuja",""," No ManagementFactor: "
"4236","18C1aGSUYT_Kano","C1a uniform yield trial established at kano in 2018  ","Uniform Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2018","RCBD","18","Kano","2018-August-08","","4","4","","3","3","0.096","no","no","4356","2018_Kano",""," No ManagementFactor: "
"4237","18C1aGSUYT_Otobi","C1a uniform yield trial established at Otobi in 2018 ","Uniform Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2018","RCBD","16","Otobi","2018-August-08","","4","4","","3","3","0.096","no","no","4359","2018_Otobi",""," No ManagementFactor: "
"4235","18C1aGSUYT_umu","C1a UYT trial established at Umudike in 2018","Uniform Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2018","RCBD","12","Umudike","2018-August-08","","4","4","","3","3","0.096","no","no","4357","2018_umudike",""," No ManagementFactor: "
"4536","18C1aUYTnonGSset1Onne","C1a UYT established at Onne","Uniform Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2018","RCBD","9","Onne","2018-October-22","","","","","2","2","","no","no","4861","2018_Onne",""," No ManagementFactor: "
"4541","18C1aUYTnonGSset1kano","C1a UYT set2 kano","Uniform Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2018","RCBD","18","Kano","","","","","","2","2","","no","no","4356","2018_Kano",""," No ManagementFactor: "
"5343","18C1aUYTnonGSset1umu","C1a UYT established at Umudike in 2018","Uniform Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2018","RCBD","12","Umudike","2018-October-22","","4","4","","2","2","0.055","no","no","4357","2018_umudike",""," No ManagementFactor: "
"4538","18C1aUYTnonGSset2Onne","C1a UYT established at Onne in 2018","Uniform Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2018","RCBD","9","Onne","2018-October-22","","","","","2","2","","no","no","4861","2018_Onne",""," No ManagementFactor: "
"4542","18C1aUYTnonGSset2kano","C1a  UYT Kano 2018","Uniform Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2018","RCBD","18","Kano","","","","","","2","2","","no","no","4356","2018_Kano",""," No ManagementFactor: "
"4540","18C1aUYTnonGSset2umu","C1a UYT non GS set2 established at umudike","Uniform Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2018","RCBD","12","Umudike","2018-October-22","","4","4","","2","2","0.055","no","no","4357","2018_umudike",""," No ManagementFactor: "
"4543","18C1aUYTset1ikenne","C1a UYT Ikenne 2018","Uniform Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2018","RCBD","32","Ikenne","","","","","","2","2","","no","no","4862","2018_ikenne",""," No ManagementFactor: "
"4544","18C1aUYTset2ikenne","C1a  UYT ikenne 2018 ","Uniform Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2018","RCBD","32","Ikenne","","","","","","2","2","","no","no","4862","2018_ikenne",""," No ManagementFactor: "
"5321","18C1bAYTGSkano","C1b AYT genotyped non selected established at Kano in 2018","Advanced Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2018","RCBD","12","Umudike","","","4","5","","2","2","","no","no","4356","2018_Kano",""," No ManagementFactor: "
"5469","18C1bAYTGSset1umu","C1b GS Advanced Yield trial set 1 established at Umudike in 2018","Advanced Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2018","RCBD","12","Umudike","","","4","4","","3","3","0.029","no","no","4357","2018_umudike",""," No ManagementFactor: "
"5316","18C1bAYTGSset2umu","AYT established at Umudike in 2018","Advanced Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2018","RCBD","12","Umudike","2018-August-17","","1","8","","3","3","0.067","no","no","4357","2018_umudike",""," No ManagementFactor: "
"4109","18C1bAYTOtobi","Designing of field trial layout  of  Otobi","Advanced Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2018","RCBD","16","Otobi","","","","","","3","3","","no","no","4359","2018_Otobi",""," No ManagementFactor: "
"4111","18C1bAYTkano","Designing of field trial layout of Kano","Advanced Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2018","RCBD","18","Kano","","","","","","3","3","","no","no","4356","2018_Kano",""," No ManagementFactor: "
"4432","18C1bAYTnonGSset1Otobi","C1b non genomic selected AYT set 1 established at Otobi in 2018","Advanced Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2018","RCBD","16","Otobi","2018-September-27","","4","4","","2","2","0.08","no","no","4359","2018_Otobi",""," No ManagementFactor: "
"4434","18C1bAYTnonGSset1umu","C1b non genomic selected AYT set 1 established at Umudike in 2018","Advanced Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2018","RCBD","12","Umudike","2018-September-27","","4","4","","2","2","0.08","no","no","4357","2018_umudike",""," No ManagementFactor: "
"4435","18C1bAYTnonGSset2Otobi","C1b non genomic selected AYT set 2 established at Otobi in 2018","Advanced Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2018","RCBD","16","Otobi","2018-September-27","","4","4","","2","2","0.08","no","no","4359","2018_Otobi",""," No ManagementFactor: "
"4436","18C1bAYTnonGSset2umu","C1b non genomic selected AYT set 2 established at Umudike in 2018","Advanced Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2018","RCBD","12","Umudike","2018-September-27","","4","4","","2","2","0.08","no","no","4357","2018_umudike",""," No ManagementFactor: "
"4437","18C1bAYTnonGSset3Otobi","C1b non genomic selected AYT set 1 established at Umudike in 2018","Advanced Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2018","RCBD","12","Umudike","2018-September-27","","4","4","","2","2","0.08","no","no","4359","2018_Otobi",""," No ManagementFactor: "
"5342","18C1bAYTnonGSset3umu","C1b AYT established at Updike in 2018","Advanced Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2018","RCBD","12","Umudike","2018-September-27","","4","4","","2","2","0.08","no","no","4357","2018_umudike",""," No ManagementFactor: "
"5344","18C1bAYTnonGSset4Otobi","C1b AYT established at Otobi in 2018","Advanced Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2018","RCBD","16","Otobi","","","","","","2","2","","no","no","4359","2018_Otobi",""," No ManagementFactor: "
"5345","18C1bAYTnonGSset4umu","C1b AYT established at Umudike in 2018","Advanced Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2018","RCBD","12","Umudike","2018-September-27","","4","4","","2","2","0.08","no","no","4357","2018_umudike",""," No ManagementFactor: "
"5320","18C1bAYTnonGSumu","C1b AYT genotyped non selected established at Umudike in 2018","Advanced Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2018","RCBD","12","Umudike","2018-July-17","","4","4","","2","2","0.092","no","no","4357","2018_umudike",""," No ManagementFactor: "
